,filename,HOTEL#CLEANLINESS,HOTEL#COMFORT,HOTEL#GENERAL,HOTEL#PRICE,LOCATION#GENERAL,SERVICE#GENERAL,STAFF#GENERAL,review
0,1037-2.txt,1,0,0,0,0,0,1,البشاشة والاستقبال الحسن والنظافة
1,1038-1.txt,1,0,0,0,0,0,0,الغرف النظافة وسط ازعاج من الجيران المطعم له رائحة والاكل دون المستوى المطلوب
2,1050-2.txt,1,0,1,0,0,0,1,التأثيث والنظافة والسعة  وموظف
3,1055-2.txt,1,0,1,0,0,1,1,الترتيب و النظافه ممتازه والخدمه ممتازه والعاملين جدا رائعين بالاستقبال من الفنادق المميزه بالظهران
4,1060-2.txt,1,0,0,0,0,0,1,الترتيب والنظافة
5,1061-2.txt,1,0,0,0,1,0,1,الترتيب والنظافة والموقع
6,1062-2.txt,1,0,0,0,0,0,1,الترتيب والنظافة والهدوء والاستقبال
7,1063-2.txt,1,0,0,0,0,0,1,الترتيب والنظافه والتعامل وحسن النظهر وشكرا
8,1064-2.txt,1,0,0,0,0,0,1,الترتيب والهدوء والنظافة
9,1065-2.txt,1,0,0,0,1,0,1,الترتيب والهدوء ونظافة المكان وقربه من المسجد الحرام
10,1072-1.txt,1,1,0,1,0,0,0,مريح ونظيف جدا انصح به وسعرة مناسب
11,1072-2.txt,1,0,0,0,0,0,1,الترحيب والتعامل الجيد مع النزلاء ونظافه المرفقات
12,1075-2.txt,1,0,0,0,0,0,1,التصميم .. النظافة .. المطعم
13,1076-2.txt,1,0,0,0,0,0,1,التصميم + النضافة + الترتيب + الرائحة الجميلة + التفصيل الجيد للشقة .
14,1081-2.txt,1,0,0,0,1,0,0,التصميم والنظافة والهدوء والموقع
15,1088-2.txt,1,0,0,0,0,0,1,التعامل  الممتاز من موظفي الاستقبال - الهدوء - نظافه المكان - وجوده الاكل
16,1089-2.txt,1,0,0,0,1,1,1,التعامل + الخدمة + النظافة + الموقع
17,1115-2.txt,1,0,0,0,0,1,1,"التعامل الراقي من جميع الأقسام ( الإسنقبال, النظافة, خدمة المطعم). الترحيب بسلة الفواكة و الحلويات و التودع بالقهوة العربية و التمر. التنوع في الفطور. جودة الطعام في وجبتي العشاء و الغداء."
18,1120-2.txt,1,0,1,0,0,0,0,التعامل الراقي من فريق العمل وروعة الديكورات وجودة الاثاث والنظافة الفايقة
19,1127-2.txt,1,0,0,0,0,1,1,التعامل الطيب ، النظافة ، الباصات شغالات على مدار الساعة بإذن الله المره القادمة اول ما افكر بالسكن راح اختار مكارم ام القرى و اتمنى المحافظة على مستواكم المرموق جداً
20,1134-2.txt,1,0,0,0,0,0,1,التعامل جدا راقي والنظافة اشكر جهودكم المبذوله الي الامام والف شكر علي الاستقبال
21,1148-2.txt,1,0,0,0,0,0,1,التعامل ممتاز الافطار ممتاز النظافة جيده جدا
22,1151-2.txt,1,0,0,0,0,0,1,التعامل ممتاز والنظافة
23,1155-2.txt,1,0,0,0,0,0,1,التعامل والنظافة
24,1157-2.txt,1,0,1,0,1,0,1,التعامل.  القرب.  النظافة   الهدوء
25,1160-2.txt,1,0,1,0,0,1,1,التعاون من الشاب المصري في الاستقبال في جميع المتطلبات ونظافة الفندق والهدوء والتعاون في النقل من و الي الحرم
26,1162-2.txt,1,0,0,0,1,0,1,التعاون من قبل طاقم العمل اكثر شئ يميز الفندق ونظافته وقربه من الحرم
27,1178-2.txt,1,0,1,0,0,0,0,التنظيم والنظافة والهدوء
28,1187-2.txt,1,0,1,0,0,0,0,التوصيل للحرم و النظافة والهدوء
29,1221-2.txt,1,0,0,1,0,0,0,الحقيقة الشقق غالية الثمن مقابل الخدمة والنظافة ..فهي مستهلكة الاثاث وادوات مطبخ الخدمة كما وجدت بعض الاواني لم تغسل كذلك لم يوفر في دورات المياة شامبو وصابون غسيل فلماذا هذا السعر العالي على موقع سيء
30,1225-2.txt,1,0,1,0,0,0,0,الحقيقة اني كنت موفق في اختيار الفندق من ناحية النضافة وعدم الازعاج وسوف اعاود السكن فية ان شاء الله لاحقا
31,1227-2.txt,1,0,0,0,0,1,0,الحقيقة من افضل الشقق المفروشه اللي أشوفها نظافه وخدمات وانصح كل العوائل والأفراد بالذهاب إليه
32,1228-2.txt,1,0,0,0,1,0,1,الحقيقة نظافة واستقبال على اعلى مستوى و الاثاث رائع والسعر مناسب جداً والمساحات معقولة ومدروسة والموقع مميز
33,1229-2.txt,1,0,0,0,0,1,0,الحقيقه من انظف الفنادق التي سكنتها، اثاث وخدمات جيده ، مساحة الغرف جيده ومناسبه.
34,1267-2.txt,1,0,0,0,0,1,1,الخدمات رائعه والنظافة ولباقة الاستقبال وحسن تعاملهم
35,1268-2.txt,1,0,0,0,0,1,0,الخدمات سريعة جدا على مدار الساعة كذلك النظافة عالية وتوفر الفاكهة الطازجة المتنوعة يوميا
36,1270-2.txt,1,0,0,0,0,1,0,الخدمات متوفرة ،النظافة ممتازة . واغراض الغرفة متكاملة ومقبولة . انصح بالسكن فيه . ليس جديد وايضا ليس بالقديم وسعره مناسب للمكان
37,1273-2.txt,1,0,0,0,1,1,0,الخدمات ممتازة والموقع ممتاز والنظافة ممتازة
38,1277-2.txt,1,0,0,0,0,1,1,الخدمات و التعامل الموظفين مع الزوار ايضا نظافه الفندق و بالاضافه
39,1278-2.txt,1,0,0,0,1,1,0,الخدمات و النظافة و الموقع
40,1285-2.txt,1,0,0,0,1,1,0,الخدمات والنظافه والموقع
41,1286-2.txt,1,0,0,0,1,1,0,الخدمات والنظافه والموقع والافطار الشهي والمواصلات
42,1291-2.txt,1,0,0,0,0,1,0,الخدمات ومستوى النظافة والغرف
43,1293-2.txt,1,0,0,0,0,1,0,الخدمة-النظافة
44,1299-2.txt,1,0,0,0,0,1,0,الخدمة السريعة والتجاوب السريع ونظافة المكان من افضل الفنادق ف الشرق الأوسط
45,1323-2.txt,1,0,0,0,0,1,0,الخدمة فوق الممتازة من نظافة وعناية بالعميل .
46,1337-2.txt,1,0,0,0,1,1,1,الخدمة ممتازة و الصيانة سريعة الإستجأبة الغرفة واسعة و الحمام رائع و النظافة متميزةو الموقع قريب جدا من الحرم النبوى خاصة للسيدات و موظفى الإستقبال غاية فى اللطف و التمكن من أداء عملهم
47,1344-2.txt,1,0,1,0,0,1,0,الخدمة و إطلالة الحرم والنظافة
48,1346-2.txt,1,0,0,0,0,1,1,الخدمة والاستقبال وسرعة تجاوب الموظفين ،النظافة والاسره كانت مريحه
49,1350-2.txt,1,0,0,0,0,1,0,الخدمة والنظافة
50,1351-2.txt,1,0,0,0,0,1,0,الخدمة والنظافة خمسة نجوم
51,1352-2.txt,1,0,0,0,0,1,0,الخدمة والنظافة سيئة جدا
52,1353-2.txt,1,0,1,0,0,1,1,الخدمة والنظافة والهدوء والإستقبال بشكل عام الفندق اكثر من رائع وهو سكني المفضل في مدينة جدة دائماً
53,1358-2.txt,1,0,1,0,0,1,0,الخدمة ونظافة المكان والهدوء
54,1362-2.txt,1,1,0,0,0,1,0,الخدمه  والراحه  والنظافه
